Job Title,Company,Location,Salary,Job_link,Company Link
Business Development Director,AdMazad,Cairo Governorate,$25k – $30k • 1.0% – 2.0%,https://angel.co/company/admazad/jobs/708159-business-development-director,https://angel.co/company/admazad
CTO,CoKitchen,Nigeria • Lagos • Lagos,$23k – $30k • 3.0% – 5.0%,https://angel.co/company/cokitchen-1/jobs/731624-cto,https://angel.co/company/cokitchen-1
Admin Officer,seedstars.com,Dar es Salaam •,$1k – $5k,https://angel.co/company/seedstars-com-1/jobs/704895-admin-officer,https://angel.co/company/seedstars-com-1
Finance Officer,seedstars.com,Dar es Salaam •,$2k – $5k,https://angel.co/company/seedstars-com-1/jobs/705725-finance-officer,https://angel.co/company/seedstars-com-1
Partnerships Manager MENA,seedstars.com,Egypt • Tunisia • Morocco •,$3k – $15k,https://angel.co/company/seedstars-com-1/jobs/559463-partnerships-manager-mena,https://angel.co/company/seedstars-com-1
business development,Balancell,Cape Town •,$30k – $45k,https://angel.co/company/balancell-com/jobs/702467-business-development,https://angel.co/company/balancell-com
UI Designer,Kalido,London • Johannesburg,£45k – £50k • 0.0% – 0.1%,https://angel.co/company/kalido-2/jobs/702601-ui-designer,https://angel.co/company/kalido-2
Digital Marketer,HEADWAY,Lagos •,$70k – $80k,https://angel.co/company/headway-10/jobs/504808-digital-marketer,https://angel.co/company/headway-10
Digital Marketer,HEADWAY,Lagos Island •,$70k – $80k,https://angel.co/company/headway-10/jobs/504827-digital-marketer,https://angel.co/company/headway-10
"Partnerships Manager, Southern Africa|Cape Town, South Africa|Full-Time",Dimagi,Cape Town •,$35k – $37k,https://angel.co/company/dimagi-6/jobs/714669-partnerships-manager-southern-africa-cape-town-south-africa-full-time,https://angel.co/company/dimagi-6
Product Manager,Framework Homeownership,Boston • Masindi •,$85k – $125k AngelList Est.,https://angel.co/company/framework-homeownership-2/jobs/727715-product-manager,https://angel.co/company/framework-homeownership-2
AI Scientist,Radivision,Egypt • Cairo • Maadi •,$15k – $20k,https://angel.co/company/radivision/jobs/704169-ai-scientist,https://angel.co/company/radivision
Technical Entrepreneuer & Startup CEO,Radivision,Egypt • Cairo Governorate • Maadi •,$25k – $30k,https://angel.co/company/radivision/jobs/704192-technical-entrepreneuer-startup-ceo,https://angel.co/company/radivision
Full-Stack Engineer for Cairo Team (Maadi),Radivision,Egypt • Cairo Governorate • Al Maadi •,$12k – $16k,https://angel.co/company/radivision/jobs/702901-full-stack-engineer-for-cairo-team-maadi,https://angel.co/company/radivision
AI Software Engineer - Machine Learning (Maadi),Radivision,Egypt • Cairo Governorate • Maadi •,$15k – $20k,https://angel.co/company/radivision/jobs/702937-ai-software-engineer-machine-learning-maadi,https://angel.co/company/radivision
AI Scientist - Natural Language Processing Focus,Radivision,Egypt • Cairo Governorate • Maadi •,$15k – $20k,https://angel.co/company/radivision/jobs/702941-ai-scientist-natural-language-processing-focus,https://angel.co/company/radivision
"Sebokeng hospital needs nurses,admin and general workers call Mr Molefe on 0637605001",Sebokeng hospital,Vanderbijlpar,$9k – $37k • 10.0% – 25.0%,https://angel.co/company/sebokeng-hospital/jobs/583960-sebokeng-hospital-needs-nurses-admin-and-general-workers-call-mr-molefe-on-0637605001,https://angel.co/company/sebokeng-hospital
Principal Consultant,Daybreak Marketing Resource,Abuja,$10k – $50k • 10.0% – 12.0%,https://angel.co/company/daybreak-marketing-resource/jobs/571271-principal-consultant,https://angel.co/company/daybreak-marketing-resource
Co-Founder,Pangolo.com,Lagos • Ibadan,No salary • 5.0% – 15.0%,https://angel.co/company/pangolo/jobs/704940-co-founder,https://angel.co/company/pangolo
Chief Technology Officer,Work Life,Lagos •,$70k – $100k,https://angel.co/company/work-life-3/jobs/713614-chief-technology-officer,https://angel.co/company/work-life-3
Sales/ Growth Hacking - South Africa,Bookkeeping eSolutions,South Africa,₹1.2L – ₹6L • 1.0% – 10.0%,https://angel.co/company/bookkeeping-esolutions/jobs/706039-sales-growth-hacking-south-africa,https://angel.co/company/bookkeeping-esolutions
Head of Sales Growth,RxAll,Ibadan •,$1k – $3k,https://angel.co/company/rxall/jobs/730984-head-of-sales-growth,https://angel.co/company/rxall
Digital Marketing Manager,RxAll,Ibadan •,$1k – $3k,https://angel.co/company/rxall/jobs/697203-digital-marketing-manager,https://angel.co/company/rxall
