Job,Company,Location,Days posted
"Manager, Data Management and GovernancePromoted",GREAT EASTERN,"Eastern Province, KE",1d
Senior ConsultantPromoted,Edgile,"Eastern Province, KE",5d
"Director, Partner EngineeringPromoted",Andela,"Nairobi, KE",6d
Data Analyst Intern,Kenya Red Cross,"Nairobi, KE",New
Young Leadership Programme Fellow - Kenya,McKinsey & Company,"Nairobi, KE",New
Analytical Consultant,Google,"Nairobi, KE",5d
COMMUNICATION AND PROGRAM SUPPORT (WILDLIFE),United Nations,"Nairobi, KE",2d
"Monitoring Specialist, Fixed Term, P-4, Nairobi, Kenya, Eastern and Southern Africa Regional Office (ESARO)",UNICEF,"Nairobi, KE",1d
Full time opportunities students & recent graduates: Customer Facing Technologies,Microsoft,"Nairobi, KE",New
Head of Product Strategy,DT One,"Nairobi, Kenya",1d
Kenya Data Analytics Specialist,One Acre Fund,"Kakamega, KE",2d
Information Technology Assistant,Murban Movers Ltd,"Dagoretti, Nairobi, Kenya",1d
Software Engineering Intern,Gro Intelligence,"Nairobi, KE",5d
International Project Manager - Kenya,Zenysis Technologies,"Nairobi, KE",1d
Data Engineer – Cape Town – R550k to R750k per annum,e-Merge IT Recruitment,"Western Province, KE",4d
Data Design Associate,Komaza,"Nairobi, Kenya",1d
Junior BI Developer / Analyst,PERSONA staff,"Western Province, KE",4d
IT Intern,Penda Health,"Nairobi, KE",4d
Consultant,Edgile,"Eastern Province, KE",5d
Senior Research Associate - Kenya,Laterite,"Nairobi, KE",New
Expansion Manager West Africa,BURN Manufacturing,"Nairobi, Kenya",New
Sales Analyst,Savannah Brands,"Nairobi, Kenya",New
OCM Consultant,Jobskey Search and Selection,"Eastern Province, KE",New
Operations Officer,World Bank Group,"Nairobi, KE",1d
Cloud Talent Engagement Lead,CloudFactory.,"Nairobi, Kenya",5d
Strategy AnalystPromoted,One Acre Fund,"Nairobi, KE",5d
"Investment Manager, Energy Access for Africa and Asia Promoted",Bamboo Capital Partners,"Nairobi, Kenya",New
Finance GITPromoted,Coca-Cola Beverages Africa,Kenya,4d
Communication and Program Support (Wildlife) at United Nations Environment Programme,UN Environment Programme,"Nairobi, KE",1d
Research and Communications Assistant-Intern,UNOPS,"Nairobi, KE",New
Information Systems Auditors at Central Bank of Kenya,Central Bank of Kenya,"Nairobi, KE",6d
Communications Coordinator at World Agroforestry,World Agroforestry,"Nairobi, KE",6d
Simulation Software Development Engineer (FL),Broader Intelligence,"Eastern Province, KE",New
Journalist – Multimedia (Nairobi),BBC,"Nairobi, KE",5d
6-Month Full Time Career Start Accelerator (Including Job Placement),Yusudi,"Nairobi, KE",New
Research Associate II – Livestock Genetics at International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),"Nairobi, KE",5d
"Consultant, Inclusive Growth and Resilience",IPE Triple Line,"Nairobi, Kenya",6d
LEC Kenya & Zimbabwe,The Coca-Cola Company,"Nairobi, KE",New
MONITORING AND EVALUATION OFFICER,Mercy Corps,"Maralal, KE",New
Database Administrator at Standard Bank and Trust Co,Standard Bank and Trust Co.,"Nairobi, KE",5d
Business Intelligence Developer,ICON Oncology,"Western Province, KE",1d
"Exciting Recruitment at I&M Bank Ltd (February, 2020 Recommended Jobs)",I&M Bank Ltd,"Nairobi, KE",6d
Senior Marketing Technical Advisor,Population Services International,"Nairobi, Kenya",New
Power & Utilities Sales Leader Africa F-H,Bureau Veritas Group,"Nairobi, Kenya",New
Search Engine Optimization Specialist,Qallann Marketing Agency,"Nairobi Hill, Nairobi, Nairobi, Kenya",6d
R&D Manager,Bettingjobs.com,"Eastern Province, KE",New
Budget & Programming Associate at United Nations World Food Programme,United Nations World Food Programme,"Nairobi, KE",5d
Trainee Programme: Information Technology,Staff Solutions Limited,"Western Province, KE",1d
Program Coordinator,Department of Health (WA Health),"Western Province, KE",3d
GIS Intern,Kenya Red Cross,"Nairobi, KE",New
Business Developer Hydro/SolarPromoted,Voltalia,"Nairobi, Kenya",New
Investment AnalystPromoted,Nordic Microfinance Initiative (NMI),"Nairobi, Kenya",New
Credit Risk AnalystPromoted,Pezesha,"Nairobi, Kenya",2d
Data Engineer – Cape Town – R540k to R700k per annum,e-Merge IT Recruitment,"Western Province, KE",4d
"Internship: Knowledge Management and Data Analytics, UNICEF ESARO - Nairobi, Kenya (3 months)",UNICEF,"Nairobi, KE",4d
Information Officer,Chiltern Farms,"Western Province, KE",4d
