Job Title,Company,Location,Job Link,Employment Type,Compensation,Date Posted
Integration Architect,Isilumko Staffing,"Tyger Valley, Western Cape",https://www.careerjunction.co.za/jobs/view/2338347/integration-architect-in-tyger-valley-western-cape,Contract Specialist position,Undisclosed cost to company,16/10/2019
Analyst Developer,Avacyn Solutions,"Stellenbosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2338331/analyst-developer-in-stellenbosch-western-cape,Permanent Intermediate position,Undisclosed basic salary plus benefits,16/10/2019
Full-Stack .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2338325/full-stack-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,16/10/2019
Conveyor Systems Engineer,Boikago Group (Pty) Ltd,"Pretoria, Gauteng",https://www.careerjunction.co.za/jobs/view/2338321/conveyor-systems-engineer-in-pretoria-gauteng,Contract Specialist position,"45,000 - 55,000 pm basic salary Neg",16/10/2019
Senior Solutions Architect,Deloitte,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2338320/senior-solutions-architect-in-johannesburg-gauteng-at-deloitte,Permanent Intermediate position,"R900,000 - R1,000,000 pm cost to company incl benefits",16/10/2019
Reactjs + C# Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2338277/reactjs-%2B-c%23-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related cost to company Neg,16/10/2019
Ruby Developer,Recruit Digital,"Gardens, Western Cape",https://www.careerjunction.co.za/jobs/view/2338252/ruby-developer-in-gardens-western-cape-at-recruit-digital,Permanent Intermediate position,Market Related basic salary plus benefits,16/10/2019
Full Stack Developer,Datafin Recruitment,"Stellenbosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2338174/full-stack-developer-in-stellenbosch-western-cape-at-datafin-recruitment,Permanent Intermediate position,Market Related cost to company,15/10/2019
Front End Developer,Datafin Recruitment,"Stellenbosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2338169/front-end-developer-in-stellenbosch-western-cape-at-datafin-recruitment,Permanent Intermediate position,Market Related cost to company,15/10/2019
Full Stack Mobile Developer,Datafin Recruitment,Western Cape,https://www.careerjunction.co.za/jobs/view/2338155/full-stack-mobile-developer-in-western-cape-at-datafin-recruitment,Permanent Intermediate position,Market Related basic salary,15/10/2019
Reactjs + C# Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2338103/reactjs-%2B-c%23-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related cost to company Neg,15/10/2019
Senior C# Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2338099/senior-c%23-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,15/10/2019
Software Developer Muizenburg,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2338069/software-developer-muizenburg-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,15/10/2019
Android Mobile Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2326433/android-mobile-developer-in-cape-town-cbd-western-cape,Permanent Intermediate position,Undisclosed cost to company,15/10/2019
Senior IOS Mobile Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2322574/senior-ios-mobile-developer-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company,15/10/2019
Senior Python Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2322595/senior-python-developer-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company incl benefits,15/10/2019
Your Next .NET Development,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2338034/your-next-.net-development-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus benefits Neg,15/10/2019
Full Stack Java React Anglular Developer Intermediate,Progressive-Edge,"Stellenbosch University, Western Cape",https://www.careerjunction.co.za/jobs/view/2338011/full-stack-java-react-anglular-developer-intermediate-in-stellenbosch-university-western-cape,Permanent Intermediate position,Undisclosed basic salary plus benefits,15/10/2019
Java Developer,Network IT Bruma,"Cape Winelands: Stellenbosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2337964/java-developer-in-cape-winelands-stellenbosch-western-cape,Permanent Intermediate position,"R500,000 - R550,000 pa cost to company",15/10/2019
Fullstack .NET Developer React .NET,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2337915/fullstack-.net-developer-react-.net-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,14/10/2019
Your Next .NET Development,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2337640/your-next-.net-development-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus benefits Neg,12/10/2019
Developer Mobile iOS Android Cordova,Parvana,"Cape Town Region, Western Cape",https://www.careerjunction.co.za/jobs/view/2325469/developer-mobile-ios-android-cordova-in-cape-town-region-western-cape-at-parvana,Permanent Senior position,Market Related cost to company Neg,11/10/2019
Developer Back-End C++ Java,Parvana,"Winelands, Western Cape",https://www.careerjunction.co.za/jobs/view/2325466/developer-back-end-c%2B%2B-java-in-winelands-western-cape-at-parvana,Permanent Senior position,Market Related cost to company Neg,11/10/2019
MS Dynamics CRM 365 Developer,Nigel Frank International,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2337498/ms-dynamics-crm-365-developer-in-johannesburg-gauteng-at-nigel-frank-international,Permanent Senior position,Market Related cost to company Neg,11/10/2019
Senior .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2337273/senior-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related cost to company incl benefits Neg,10/10/2019
Senior Backend Developer CH437,Capital H Staffing,"Paarl, Western Cape",https://www.careerjunction.co.za/jobs/view/2330695/senior-backend-developer-ch437-in-paarl-western-cape,Permanent Senior position,Undisclosed basic salary,10/10/2019
