Job,Company,Location,Days posted
Business Intelligence Analyst,One Acre Fund,"Nairobi, KE",1d
Business Analyst,Kenya Climate Innovation Center,"Nairobi, Kenya",New
Resident Advisor in Monetary and Foreign Exchange Operations--CAPTAC-DR (Guatemala),International Monetary Fund,"Western Province, KE",1d
Business Intern 2020,Google,"Nairobi, KE",2d
HR Associate - Nairobi,UN Women,"Nairobi, KE",New
HR Associate,UNDP,"Nairobi, KE",New
"Global Head, Staff Recruiting",Andela,"Nairobi, KE",2d
Summer Business Intern 2019,Google,"Nairobi, KE",2d
Internship Opportunity - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Business Intelligence Associate,Komaza,"Kilifi, KE",1d
"Graduates Recruitment at Sanergy (November, 2019 Recommended Jobs)",Sanergy,"Nairobi, KE",2d
Learning Specialist,"Department of Health & Human Services, Victoria","Western Province, KE",6d
"Regional Coordinator, Africa",Equality Now,"Nairobi, KE",2d
Advocacy Officer,Not for Profit,"Western Province, KE",New
Graduate Job Vacancies Opened at Old Mutual Kenya to Apply,Old Mutual Kenya,"Nairobi, KE",4d
Intern opportunities students & recent graduates: Customer Facing Technologies,Microsoft,"Nairobi, KE",New
INTERN - Sustainable Urban Transport,United Nations,"Nairobi, KE",2d
Learning & Development Officer,O'Dwyer Personnel,"Western Province, KE",1d
Information Technology Support Engineer,University of Nairobi,"Nairobi, Kenya",5d
Digital Journalist - Nairobi,BBC,"Nairobi, KE",1d
Research Associate I-Technical Assistant,International Livestock Research Institute (ILRI),"Nairobi, KE",3d
Manager.Global Sales Strategy,Kenya Airways,"Nairobi, KE",6d
"Massive Recruitment at Konza Technopolis Development Authority (November, 2019 Recommended Jobs)",Konza Technopolis Development Authority,"Nairobi, KE",2d
Field Assistant,Concern Worldwide,"Nakuru, KE",3d
International Communications Consultant - Nairobi,UN Women,"Nairobi, KE",New
Delivery Assistant,Imperial Logistics,"Nairobi, Kenya",New
Office Administration Assistant  (Coworking Space),Ikigai Nairobi,Kenya,1d
IT Analyst ( 1 Year Contract),Unilever,"Nairobi, KE",1d
Client Services Coordinator at Sheer Logic,Sheer Logic,"Nairobi, KE",2d
GBV Psychosocial Officer,International Rescue Committee,"Lodwar, KE",6d
Junior Bookkeeper,Latitude Resource,"Western Province, KE",1d
Junior Admin Clerk,Philip International Corp,"Eastern Province, KE",6d
Cholera Control Internship at KEMRI,KEMRI - Wellcome Trust,"Nairobi, KE",4d
Now Hiring – Career Job Opportunities Trending at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Human Resource Manager. - Nairobi,Summit Recruitment & Search,"Nairobi, KE",1d
Sales Relationship Manager,Safaricom PLC,"Nairobi, KE",3d
"Director, Total Rewards",GitLab Inc.,"Nairobi, KE",2d
Administrative Assistant,Corporate Staffing International,"Nairobi, KE",6d
HR & Admin Manager - Downstream Petroleum,SET Consulting SA,"Nakuru, KE",New
International Communications Consultant,UNDP,"Nairobi, KE",New
IT SUPPORT TECHNICIAN,Work Africa,"Eastern Province, KE",5d
HR Administrator,Helderberg Personnel,"Western Province, KE",1d
"Consultancy: Development of Care Reform Strategy -Nairobi, Kenya",UNICEF,"Nairobi, KE",1d
Training and Development Manager,Novo Nordisk,"Nairobi, KE",1d
Solutions Developer at BSK Global Tech,BSK,"Nairobi, KE",1d
Web Developers - Nairobi,Sokoni Online Ltd,"Nairobi, KE",6d
Project officer at Biovision Africa Trust (BvAT),BioVision,"Nairobi, KE",1d
Administrative Associate,UNOPS,"Nairobi, KE",1d
