Code,Country
8,Algeria
13,Angola
23,Botswana
32,Benin
42,Burundi
47,Democratic Republic of Congo
52,Cameroon
53,Comoros
58,Central African Republic
60,Cape Verde
64,Djibouti
69,Egypt
71,Equatorial Guinea
73,Eritrea
75,Ethiopia
88,Gambia
89,Gabon
91,Ghana
102,Guinea
130,Kenya
143,Liberia
147,Lesotho
149,Libya
150,Madagascar
157,Malawi
160,Mali
162,Morocco
163,Mauritius
165,Mauritania
171,Mozambique
175,Niger
177,Nigeria
198,Guinea-Bissau
201,Reunion
206,Rwanda
210,Seychelles
211,South Africa
212,Senegal
213,Saint Helena
215,Sierra Leone
218,Somalia
221,Sudan
234,Togo
235,Sao Tome and Principe
236,Tunisia
242,Tanzania
243,Uganda
245,Burkina Faso
254,Namibia
257,Western Sahara
260,Swaziland
262,Zambia
263,Zimbabwe
