Job,Joblink,Company,Company Link,Job Tags,Date Posted,Compensation
Requirement For Graphic Designer,https://angel.co/company/flipsope/jobs/650859-requirement-for-graphic-designer,flipsope,https://angel.co/company/flipsope,"Full Time · Bengaluru · Adobe Photoshop · Adobe Illustrator
·","Posted
6 minutes
ago","₹25,000 – ₹30,000 · No equity"
SEO Expert,https://angel.co/company/flipsope/jobs/519664-seo-expert,flipsope,https://angel.co/company/flipsope,"Full Time · Jaipur · Content Creator · Search Engine Optimization · Search Engine Marketing (SEM) · Advanced Web Rankings · SEO and Website Analytics · SEO/SEM Google Adwords Google Analytics
·



Posted
8 months
ago",,₹1.44L – ₹1.8L · No equity
Fashion Designer,https://angel.co/company/moodboard-analytics-1/jobs/650857-fashion-designer,Moodboard Analytics,https://angel.co/company/moodboard-analytics-1,"Full Time · Manayata Tech Park · Designer · Fashion · Fashion Designer
·","Posted
22 minutes
ago",₹2.25L – ₹2.4L · No equity
Front-end Engineer,https://angel.co/company/moodboard-analytics-1/jobs/646648-front-end-engineer,Moodboard Analytics,https://angel.co/company/moodboard-analytics-1,"Full Time · Bengaluru · Javascript · Canvas · React.js · Angular
·



Posted
7 days
ago",,₹2.4L – ₹2.64L · No equity
Text Mining/NLP Internship,https://angel.co/company/moodboard-analytics-1/jobs/632630-text-mining-nlp-internship,Moodboard Analytics,https://angel.co/company/moodboard-analytics-1,"Full Time · Manayata Tech Park · Software Engineer · Text Mining · NLTK · NLP · SpaCy · Lemmatizing
·



Posted
30 days
ago",,₹3L – ₹3.5L · No equity
UI/UX Designer,https://angel.co/company/moodboard-analytics-1/jobs/632619-ui-ux-designer,Moodboard Analytics,https://angel.co/company/moodboard-analytics-1,"Full Time · Manayata Tech Park · UI/UX Designer · UI/UX Design · Adobe Photoshop · Adobe Illustrator
·



Posted
30 days
ago",,₹4.8L – ₹5L · No equity
Entry-level Python Developer,https://angel.co/company/moodboard-analytics-1/jobs/632616-entry-level-python-developer,Moodboard Analytics,https://angel.co/company/moodboard-analytics-1,"Full Time · Manayata Tech Park · Software Engineer · Backend Developer · Python · Javascript · Selenium · Beautiful Soup
·



Posted
30 days
ago",,₹3L – ₹4L · No equity
COO / Co-Founder (Remote),https://angel.co/company/bundler-3/jobs/650854-coo-co-founder-remote,Bundler,https://angel.co/company/bundler-3,"Cofounder · Remote possible · London
·","Posted
29 minutes
ago",No salary · 15.0% – 30.0%
Python Backend Developer,https://angel.co/company/bottlel-lab-technologies/jobs/650851-python-backend-developer,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru
·","Posted
41 minutes
ago",₹7L – ₹12L · No equity
Sales manager,https://angel.co/company/bottlel-lab-technologies/jobs/557429-sales-manager,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Sales · Networking · Communication Skills · Convensing
·



Posted
5 months
ago",,₹6L – ₹10L · No equity
QA Test Engineer,https://angel.co/company/bottlel-lab-technologies/jobs/552767-qa-test-engineer,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · QA Engineer · Test Automation · JMeter · Automation testing using Selenium · Test Automation using Appium
·



Posted
6 months
ago",,₹4L – ₹4.5L · No equity
Business Development Manager,https://angel.co/company/bottlel-lab-technologies/jobs/536703-business-development-manager,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Remote possible · Bengaluru · Business Development
·



Posted
7 months
ago",,₹5L – ₹7L · No equity
Relationship Manager,https://angel.co/company/bottlel-lab-technologies/jobs/523677-relationship-manager,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Gurgaon · Gurugram · Operations
·



Posted
7 months
ago",,₹2.5L – ₹3.5L · No equity
Operation Executive,https://angel.co/company/bottlel-lab-technologies/jobs/523658-operation-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Gurgaon · Gurugram · Operations
·



Posted
7 months
ago",,$200k – $250k · No equity
Senior Operation Executive,https://angel.co/company/bottlel-lab-technologies/jobs/523633-senior-operation-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Gurgaon · Gurugram · Operations · Excellent Communication Skills · Independent Decision Making
·



Posted
7 months
ago",,₹2.5L – ₹3L · No equity
Key Account Manager,https://angel.co/company/bottlel-lab-technologies/jobs/519870-key-account-manager,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations Manager · Relationship Building · Interpersonal Skills · Excellent Communication Skills · Resource Management · Crises Communications
·



Posted
8 months
ago",,₹5L – ₹7L · No equity
Vendor On boarding Specialist,https://angel.co/company/bottlel-lab-technologies/jobs/519860-vendor-on-boarding-specialist,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations Manager · Communication Skills · Excellent Communication Skills · Resource Management · Multiple languages
·



Posted
8 months
ago",,₹3L – ₹5L · No equity
Sales And Business development Intern,https://angel.co/company/bottlel-lab-technologies/jobs/514442-sales-and-business-development-intern,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Marketing · Networking · MS Office · Communication Skills · Interpersonal Skills · Excellent Communication Skills
·



Posted
8 months
ago",,"₹5,000 – ₹5,000 · No equity"
Vendor Onboarding Specialist,https://angel.co/company/bottlel-lab-technologies/jobs/490450-vendor-onboarding-specialist,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations · Communication Skills · Leadership and motivation · Resource Management · Negotiation Skills · Multiple languages
·



Posted
9 months
ago",,"₹25,000 – ₹41,000 · No equity"
Inside Sales Executive,https://angel.co/company/bottlel-lab-technologies/jobs/480406-inside-sales-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Business Development · Sales · Sales Management · Sales and Marketing · Excellent Communication Skills · Email Sending Platforms
·



Posted
10 months
ago",,"₹24,000 – ₹25,000 · No equity"
Business Development Executive,https://angel.co/company/bottlel-lab-technologies/jobs/480393-business-development-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Business Development · Client Relations · Strategic Decision Making · Verbal Communication · Ability to meet deadlines · Exellent Communication Skills
·



Posted
10 months
ago",,"₹19,000 – ₹20,000 · No equity"
Graphic Design Intern,https://angel.co/company/bottlel-lab-technologies/jobs/476059-graphic-design-intern,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Bangalore Urban · Designer · Graphic Design · Adobe Photoshop · Adobe Illustrator · Poster Design · Adobe · Portfolio Management · Adobe Suite (Photoshop InDesign Illustrator)
·



Posted
10 months
ago",,"₹4,000 – ₹5,000 · No equity"
Procurement Executive,https://angel.co/company/bottlel-lab-technologies/jobs/460538-procurement-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations · Communication Skills · Interpersonal Skills · Microsoft Excel
·



Posted
11 months
ago",,₹1.8L – ₹2.4L · No equity
Field Support Executive,https://angel.co/company/bottlel-lab-technologies/jobs/460528-field-support-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations · Communication Skills · Logical Thinking · Technical skills
·



Posted
11 months
ago",,₹2.4L – ₹3L · No equity
Pre-Sales Executive,https://angel.co/company/bottlel-lab-technologies/jobs/460525-pre-sales-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Sales · Communication Skills · Interpersonal & Networking skills
·



Posted
11 months
ago",,₹3L – ₹4.8L · No equity
Launch Manager (Small Account),https://angel.co/company/bottlel-lab-technologies/jobs/460524-launch-manager-small-account,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations
·



Posted
11 months
ago",,₹3.5L – ₹5L · No equity
Operations Executive,https://angel.co/company/bottlel-lab-technologies/jobs/460522-operations-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations · Communication Skills · Interpersonal Skills
·



Posted
11 months
ago",,₹1.5L – ₹2.5L · No equity
Senior Operations Executive,https://angel.co/company/bottlel-lab-technologies/jobs/460520-senior-operations-executive,SmartQ - Bottle Lab Technologies,https://angel.co/company/bottlel-lab-technologie,"Full Time · Bengaluru · Operations · Communication Skills · Interpersonal Skills
·



Posted
11 months
ago",,$250k – $300k · No equity
