Job,Category,Company,Location,Compensation,Link
Customer Insight Specialist,Designer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/637325-customer-insight-specialist
UX Specialist,Designer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/663292-ux-specialist
CRM Lead (Lifecycle Lead),Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/619358-crm-lead-lifecycle-lead
Growth Creative Lead,Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/640854-growth-creative-lead
Product Marketing Manager,Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/653947-product-marketing-manager
CRM Lifecycle Manager,Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/664765-crm-lifecycle-manager
Senior Recruiter ,Operations,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/657592-senior-recruiter
Payments Operations Manager,Operations,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/661344-payments-operations-manager
Supply Chain Analyst,Operations,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/670438-supply-chain-analyst
Senior Salesforce Architect,Sales,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/628366-senior-salesforce-architect
Senior Software Engineer Technical Lead,Software Engineer,Yoco,Cape Town,$45k – $85k • 0.04% – 0.1%,https://angel.co/company/yoco/jobs/394393-senior-software-engineer-technical-lead
Full-Stack Senior Software Engineer,Software Engineer,Yoco,Cape Town,$55k – $75k • 0.04% – 0.1%,https://angel.co/company/yoco/jobs/394396-full-stack-senior-software-engineer
Business Intelligence Engineer,Software Engineer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/616189-business-intelligence-engineer
VP of Software Engineering,Software Engineer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/665425-vp-of-software-engineering
Head of Product,Other,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/665426-head-of-product
Revenue Analyst,Other,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/670439-revenue-analyst
Back-end developer,Software Engineer,ITAPS,Singapore,$40k – $60k • No equity,https://angel.co/company/itaps-1/jobs/667251-back-end-developer
UI/UX Designer,Designer,hellohr,Cape Town,$12k – $25k • 0.0% – 1.0%,https://angel.co/company/hellohr-1/jobs/675208-ui-ux-designer
UI/UX Design Intern,Designer,hellohr,Cape Town,$4k – $6k • No equity,https://angel.co/company/hellohr-1/jobs/675210-ui-ux-design-intern
CTO,Management,hellohr,Remote,$40k – $55k • 5.0% – 10.0%,https://angel.co/company/hellohr-1/jobs/675218-cto
Full-stack Software Engineer,Software Engineer,Root,Cape Town,$27k – $65k • 0.1% – 2.0%,https://angel.co/company/rootwealth/jobs/661854-full-stack-software-engineer
Senior Software Engineer,Software Engineer,Root,Cape Town,$60k – $120k • 0.1% – 3.5%,https://angel.co/company/rootwealth/jobs/661876-senior-software-engineer
"Sebokeng hospital needs nurses,admin and general workers call Mr Molefe on 0637605001",Management,Sebokeng hospital,Vanderbijlpark,$9k – $37k • 10.0% – 25.0%,https://angel.co/company/sebokeng-hospital/jobs/583960-sebokeng-hospital-needs-nurses-admin-and-general-workers-call-mr-molefe-on-0637605001
Digital & Graphic Designer,Designer,RCCO,London,£26k – £32k • No equity,https://angel.co/company/rcco-1/jobs/660210-digital-graphic-designer
Front-end Developer,Software Engineer,RCCO,London,£20k – £25k • No equity,https://angel.co/company/rcco-1/jobs/660215-front-end-developer
Engineering Fellow at our Global Portfolio Ventures,Software Engineer,Alter Global,South Africa,$12k – $18k • No equity,https://angel.co/company/alter-global/jobs/666332-engineering-fellow-at-our-global-portfolio-ventures
