Job,Category,Company,Location,Compensation,Link
Engagement Director,Marketing,The Busara Center,Nairobi,,https://angel.co/company/the-busara-center/jobs/674378-engagement-director
Senior Backend Developer,Software Engineer,The Busara Center,Nairobi,,https://angel.co/company/the-busara-center/jobs/674379-senior-backend-developer
Senior Frontend Developer,Software Engineer,The Busara Center,Nairobi,,https://angel.co/company/the-busara-center/jobs/674380-senior-frontend-developer
Sales Representative - LAGOS,Sales,RxAll,Lagos,$3k – $6k • No equity,https://angel.co/company/rxall/jobs/675232-sales-representative-lagos
Business  analyst,Other,Plusqo capital,Europe,$40k – $50k • 0.0% – 10.0%,https://angel.co/company/plusqocapital/jobs/673139-business-analyst
TECHNOLOGY LEAD,Software Engineer,MKOBO,Lagos,$10k – $15k • No equity,https://angel.co/company/mkobo-1/jobs/677119-technology-lead
UI/UX Designer,Designer,hellohr,Cape Town,$12k – $25k • 0.0% – 1.0%,https://angel.co/company/hellohr-1/jobs/675208-ui-ux-designer
UI/UX Design Intern,Designer,hellohr,Cape Town,$4k – $6k • No equity,https://angel.co/company/hellohr-1/jobs/675210-ui-ux-design-intern
CTO,Management,hellohr,Remote,$40k – $55k • 5.0% – 10.0%,https://angel.co/company/hellohr-1/jobs/675218-cto
Customer Insight Specialist,Designer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/637325-customer-insight-specialist
UX Specialist,Designer,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/663292-ux-specialist
CRM Lead (Lifecycle Lead),Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/619358-crm-lead-lifecycle-lead
Growth Creative Lead,Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/640854-growth-creative-lead
Product Marketing Manager,Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/653947-product-marketing-manager
CRM Lifecycle Manager,Marketing,Yoco,Cape Town,,https://angel.co/company/yoco/jobs/664765-crm-lifecycle-manager
