JobTitle,Description,Company,Job Link,Industry,Employment Type,Location,Compensation,Date posted
SAP PP Consultant ," SAP PP Consultant   Johannesburg  I am currently working with one of the South Africa's largest retailers who are urgently looking to hire an experienced SAP PP Consultant. You will be part of a talented team, a laid- back office environment and a lot ...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1628709-sap-pp-consultant-johannesburg-south/?jobindex=1,IT,Permanent,Johannesburg South,R70 000.00 - R80 000.00 Per Month,2019-11-15
Applications Architect," Job Description Summary

The Application Architect is a software architect responsible for the long-term, iterative and multi-versioned application design to be used for the unified services portal, Manage Centre. It is the single window for a client i...",Recruit Digital,https://www.careers24.com/jobs/adverts/1628704-applications-architect-cape-town-cbd/?jobindex=2,IT,Permanent,Cape Town CBD,Market Related,2019-11-15
Cloud Engineer , Cloud Engineer  Cape Town  t.allan@nigelfrank.com      My client is in need of an experienced Cloud Engineer to join a growing team!   You will be doing continues deployment across many tech stacks and present best practises for advanced cloud solution...,Nigel Frank International,https://www.careers24.com/jobs/adverts/1628698-cloud-engineer-cape-town/?jobindex=3,IT,Permanent,Cape Town,R45 380.00 - R68 070.00 Per Month,2019-11-15
Lead ERP Implementation Consultant,"  Fastest growing Cloud ERP Globally, looking for Lead Implementation Consultant who can manage large projects and develop processes for implementation teams to follow.  Looking for qualified Senior Consultants.    Inbound support: Giving clients accura...",Palladium Business Solutions (Pty) Ltd,https://www.careers24.com/jobs/adverts/1597925-lead-erp-implementation-consultant-gauteng/?jobindex=4,"Accounting, IT, Consulting",Permanent,Gauteng,R30 000.00 - R40 000.00 Per Month (Negotiable),2019-11-15
Full-Stack .NET Developer, Software Engineer - Muizenburg  Looking for a challenging opportunity but not interested in a corporate environment? This opportunity offers you a challenge within a small team with hands-on support from senior developers and sees you enjoy a flat comp...,Nigel Frank International,https://www.careers24.com/jobs/adverts/1628620-full-stack-net-developer-cape-town/?jobindex=5,IT,Permanent,Cape Town,R50 000.00 - R58 000.00 Per Month,2019-11-15
Tester (Senior)," 									About the Client:
									
									They are an established company looking to add to their experienced team of vibrant and dynamic people that are passionate about the products and solutions they locally build and offer to their customers.  ...",Parvana,https://www.careers24.com/jobs/adverts/1628597-tester-senior-cape-town/?jobindex=6,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Test Analyst (Intermediate to Senior)," 									About the Client:
									
									A solid, blue-chip, trusted and large consulting company, this organisation offers the option to be head office or client based. They do work with all staff to define career paths and encourage mentoring as...",Parvana,https://www.careers24.com/jobs/adverts/1628596-test-analyst-intermediate-to-senior-cape-town-southern-suburbs/?jobindex=7,"IT, Technology, Technical",Permanent,Cape Town Southern Suburbs,Market Related (Negotiable),2019-11-15
Test Analyst (Automation)," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628595-test-analyst-automation-cape-town/?jobindex=8,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Technical Support Consultant," 									About the Client:
									
									Our client has a highly engaged team of engineers, software developers, administration personnel and a leadership team held in high regard by its's employees.  They continue to grow steadily and now need to...",Parvana,https://www.careers24.com/jobs/adverts/1628594-technical-support-consultant-cape-town-northern-suburbs/?jobindex=9,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Technical Artist (Design / Illustration)," 									About the Client:
									
									
									 
									 
									
									Job Description:  Our client is looking for a Technical Artist to join one of their trailblazing cross-functional teams.     Responsibilities:   	Quality Assured Gr...",Parvana,https://www.careers24.com/jobs/adverts/1628593-technical-artist-design-illustration-cape-town-northern-suburbs/?jobindex=10,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
