Job,Company,City,Country,Company Link,Job Link,Job Category,Date
UI / UX Designer,Zeraki ,Nairobi,KE,http://careers.zeraki.co.ke,https://ihub.co.ke/jobs/view/4899/ui-ux-designer,User Experience,24th Oct 2019
UI / UX Designer,Zeraki ,Nairobi,KE,http://careers.zeraki.co.ke,https://ihub.co.ke/jobs/view/4899/ui-ux-designer,User Experience,24th Oct 2019
Full stack developer - Interim CTO,Trainin ,,KE,#,https://ihub.co.ke/jobs/view/4898/full-stack-developer-interim-cto,Developer,24th Oct 2019
Full stack developer - Interim CTO,Trainin ,,KE,#,https://ihub.co.ke/jobs/view/4898/full-stack-developer-interim-cto,Developer,24th Oct 2019
Technical Sales Executive,Kipya Africa Limited ,Nairobi,KE,http://www.africa-drilling-solutions.com,https://ihub.co.ke/jobs/view/4896/technical-sales-executive,Sales,22nd Oct 2019
Technical Sales Executive,Kipya Africa Limited ,Nairobi,KE,http://www.africa-drilling-solutions.com,https://ihub.co.ke/jobs/view/4896/technical-sales-executive,Sales,22nd Oct 2019
Generalist Software Developer,Pariti ,Nairobi,KE,http://TBD,https://ihub.co.ke/jobs/view/4895/generalist-software-developer,Developer,20th Oct 2019
Generalist Software Developer,Pariti ,Nairobi,KE,http://TBD,https://ihub.co.ke/jobs/view/4895/generalist-software-developer,Developer,20th Oct 2019
SOFTWARE ENGINEER,RIVERCROSS TECHNOLOGIES LTD ,Nairobi,KE,http://https://www.rivercrosstracking.com/,https://ihub.co.ke/jobs/view/4894/software-engineer,Developer,16th Oct 2019
SOFTWARE ENGINEER,RIVERCROSS TECHNOLOGIES LTD ,Nairobi,KE,http://https://www.rivercrosstracking.com/,https://ihub.co.ke/jobs/view/4894/software-engineer,Developer,16th Oct 2019
Product Designer,Medic Mobile Inc ,Nairobi,KE,http://www.medicmobile.org,https://ihub.co.ke/jobs/view/4893/product-designer,Designer,14th Oct 2019
Product Designer,Medic Mobile Inc ,Nairobi,KE,http://www.medicmobile.org,https://ihub.co.ke/jobs/view/4893/product-designer,Designer,14th Oct 2019
Lead Data & Learning Analyst,Ongoza ,Nairobi,KE,http://www.ongoza.org,https://ihub.co.ke/jobs/view/4892/lead-data-learning-analyst,Developer,14th Oct 2019
Lead Data & Learning Analyst,Ongoza ,Nairobi,KE,http://www.ongoza.org,https://ihub.co.ke/jobs/view/4892/lead-data-learning-analyst,Developer,14th Oct 2019
Cyber Security Engineer,Kocela Limited ,Nairobi,KE,http://www.kocela.com,https://ihub.co.ke/jobs/view/4891/cyber-security-engineer,Developer,11th Oct 2019
Cyber Security Engineer,Kocela Limited ,Nairobi,KE,http://www.kocela.com,https://ihub.co.ke/jobs/view/4891/cyber-security-engineer,Developer,11th Oct 2019
Product Manager,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/4890/product-manager,Manager,9th Oct 2019
Product Manager,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/4890/product-manager,Manager,9th Oct 2019
Senior Software Developer,PowerGen Renewable Energy EA Ltd ,Nairobi,KE,http://www.powergen-re.com,https://ihub.co.ke/jobs/view/4888/senior-software-developer,Developer,9th Oct 2019
Senior Software Developer,PowerGen Renewable Energy EA Ltd ,Nairobi,KE,http://www.powergen-re.com,https://ihub.co.ke/jobs/view/4888/senior-software-developer,Developer,9th Oct 2019
DevOps Engineer,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/4887/devops-engineer,Developer,8th Oct 2019
DevOps Engineer,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/4887/devops-engineer,Developer,8th Oct 2019
