Job Title,Company,Location,Remote,Relocation,Compensation,tags
Paid Research Study for Cloud Platform Security,User Research International,No office location,Remote,,,"google-cloud-platform,azure,amazon-web-services,cloud-security,cloud"
Data Infrastructure Engineer,Kambi,"Stockholm, Sweden",,Paid relocation,,"linux,python,sysadmin"
Senior Java Developer - Remote,Wallethub,No office location,Remote,,,"java,spring,mysql"
Senior iOS Engineer - Consumer Apps (f/m/d),Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"ios,objective-c,swift"
Senior Android Engineer - Consumer Apps (f/m/d),Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"android,java,kotlin"
"Web Developer - C#, HTML, CSS in Vienna, AT (m/f)",Tricentis GmbH,"Wien, Austria",,,,"c#,css,html,tosca,agile"
Site Reliability Lead,Tessian,"London, UK",,Paid relocation,"£80k - 110k

                         | 
Equity","amazon-web-services,docker,devops,ansible,terraform,sysadmin"
Security Engineer - Lead,Tessian,"London, UK",,Paid relocation,"£60k - 110k

                         | 
Equity","python,amazon-web-services,security,penetration-testing,docker"
Python Backend Engineer,Tessian,"London, UK",,Paid relocation,"£35k - 100k

                         | 
Equity","python,backend,amazon-web-services,postgresql,terraform"
Platform Engineer,Tessian,"London, UK",,Paid relocation,"£80k - 110k

                         | 
Equity","amazon-web-services,docker,devops,ansible,terraform,sysadmin"
Data Engineer Lead,Tessian,"London, UK",,Paid relocation,Equity,"apache-spark,amazon-web-services,etl"
Software Quality Engineer (m/f),Tricentis GmbH,"Wien, Austria",,,€35k - 50k,"testing,agile,c#,.net"
Lead Full Stack Engineer,PropertyGuru Pte Ltd,"Bangkok, Thailand",,Paid relocation,,"php,node.js,reactjs,javascript,python"
Full Stack Engineer,PropertyGuru Pte Ltd,"Bangkok, Thailand",,Paid relocation,,"php,node.js,reactjs,javascript,python"
Senior Embedded Engineer,Density,No office location,Remote,,,"linux,embedded"
Paid Research Study for Visual Studio and Git Users,User Research International,No office location,Remote,,,"visual-studio-2019,visual-studio-2017,visual-studio,git,github"
"Join our remote team and enjoy work-life balance (JavaScript, NodeJS, React)",Spidergap,No office location,Remote,,£30k - 56k,"node.js,javascript,graphql,reactjs,mysql"
Senior Frontend Developer Angular (m/f/d) - work wherever you want,Data Virtuality GmbH,No office location,Remote,,€30k - 42k,"angularjs,sql,frontend,angular,visual-web-gui"
Technical Product Manager - Developers Care Team - Full Remote in Europe,Heetch,No office location,Remote,,Equity,"microservices,product-management,event-sourcing,functional-programming,go"
Senior Site Reliability Engineer (SRE) - Full Remote in Europe,Heetch,No office location,Remote,,Equity,"microservices,go,terraform,amazon-web-services"
Engineering Manager - Passenger Team - Full Remote in Europe,Heetch,No office location,Remote,,Equity,"microservices,go,docker"
Engineering Manager (Core Platform),"Wikimedia Foundation, Inc.",No office location,Remote,,,"php,mysql"
Data Engineer,Density,No office location,Remote,,,"python,django,reactjs"
Senior Frontend Developer,NetData Inc.,No office location,Remote,,Equity,"react,webpack,javascript"
Project Manager (Remote),X-Team,No office location,Remote,,,"scrum,agile"
Java/Kotlin Software Developer,Connectis,"Rotterdam, Netherlands",,Paid relocation,€30k - 64k,"java,kotlin,postgresql,scrum,rest"
Full Stack Developer,ELOGIA MEDIA SL,"Vigo, Spain",,,,
JEFE PROYECTOS JUNIOR  SISTEMAS e INFRAESTRUCTURA + URGENTE +INGLES FLUIDO,SIAG CONSULTING,"San Sebastián de los Reyes, Spain",,,,
Analista Programador Java Spring,COBSER CONSULTING,"Madrid, Spain",,,€27k - 42k,"java,spring,spring-mvc"
Android Engineers - help us build our NEW EDINBURGH Mobile Team,Lloyds Banking Group,"Edinburgh, UK",,,£49k - 70k,"android,mobile,user-interface,rest,kotlin"
"DevOps Engineer (m/w/d) (Artifactory, Maven, Container as a Service)",DATEV eG,"Nürnberg, Deutschland",,Paid relocation,,"jenkins,docker,java,build,deployment,sysadmin"
Web Developer,DHL Enterprise Software Solutions,"Sofia, Bulgaria",,,,"reactjs,javascript,html,css,ecmascript-6"
Software Engineer (Golang),Zattoo,"Berlin, Germany",,,,"go,python,ruby,cassandra,kubernetes"
Programador/a Java - Java EE,atSistemas,"Barcelona, Spain",,,,"java,java-ee"
Softwareentwickler (m/w/d) im Online Umfeld für unser Cross Solution Center,DATEV eG,"Nürnberg, Deutschland",,Paid relocation,,"java,javascript,spring,rest,angular"
Principal Software Engineer - BBC Children's,British Broadcasting Corporation,"Salford, UK",,,£50k - 60k,"javascript,reactjs,amazon-web-services,continuous-integration,pixi.js"
(Senior) Software Architekt (m/w/d) mit Schwerpunkt Java,DATEV eG,"Nürnberg, Deutschland",,Paid relocation,,"java,spring,rest,architecture"
JavaScript Front End Developer,KEAPPS,"Barcelona, Spain",,,,"javascript,reactjs"
Oracle DBA,ARELANCE,"Madrid, Spain",,,€27k - 33k,oracle
"Ingeniero automatización de pruebas ¿Quieres Carrera? entonces, ¡Corre con Voiping!","Voiping US, S.L.","Madrid, Spain",,,,
